Date,Time of Day,Category,Platform,Service Type,Customer Type,Ad Spend,Conversions,Daily Revenue
2024-10-29,Night,Subscription,Instagram,Haircut,Returning,94.34,5,366.74
2024-09-25,Night,Service,Email,Bread,Returning,56.36,4,492.62
2024-10-05,Night,Service,In-store,Coffee,New,92.64,0,330.15
2024-07-15,Morning,Subscription,Instagram,Plumbing,Returning,90.13,3,99.41
2024-12-25,Morning,Service,In-store,Haircut,Returning,73.7,2,203.81
2025-03-10,Morning,Product,Email,Dress,Returning,6.49,2,497.75
2025-02-05,Morning,Subscription,Email,Haircut,Returning,42.28,3,358.92
2025-03-19,Evening,Product,Instagram,Haircut,Returning,96.01,2,217.92
2025-04-18,Evening,Product,In-store,Haircut,Returning,29.44,5,74.81
2024-10-14,Evening,Service,Google,Plumbing,Returning,53.56,5,475.42
2024-12-14,Night,Subscription,Google,Bread,New,34,4,219.9
2024-10-07,Morning,Product,In-store,Plumbing,New,70.71,5,131.82
2024-10-28,Night,Service,Instagram,Plumbing,Returning,53.23,0,33.5
2024-11-03,Morning,Product,Email,Coffee,Returning,73.6,5,463.67
2025-04-26,Morning,Product,Email,Bread,Returning,52.49,3,387.35
2024-07-15,Night,Subscription,Instagram,Plumbing,New,30.33,1,471.73
2024-07-01,Night,Subscription,Email,Plumbing,Returning,86.16,5,32.15
2024-08-15,Evening,Service,Email,Haircut,Returning,69.83,1,174.77
2024-12-22,Morning,Product,Google,Haircut,Returning,52.94,0,229.78
2025-04-15,Night,Subscription,In-store,Dress,Returning,84.65,0,374.64
2025-04-14,Afternoon,Product,In-store,Bread,Returning,85.98,4,180.52
2024-11-18,Afternoon,Product,Instagram,Coffee,Returning,94.88,2,270.52
2024-09-02,Night,Service,Instagram,Dress,Returning,35.67,1,403.23
2024-08-21,Night,Subscription,Google,Haircut,Returning,85.58,5,29.87
2024-06-13,Morning,Service,Email,Plumbing,Returning,49.25,5,290.11
2024-07-11,Afternoon,Product,Google,Plumbing,Returning,96.71,3,484.68
2024-10-25,Night,Subscription,Instagram,Coffee,New,51.34,3,247.16
2024-05-08,Night,Product,Google,Haircut,New,96.31,3,484.86
2024-09-08,Evening,Product,Email,Haircut,Returning,83.75,0,116.74
2024-05-17,Evening,Product,Email,Haircut,Returning,50.8,4,325.59
2025-01-26,Night,Service,In-store,Plumbing,Returning,61.19,5,89.29
2025-04-19,Afternoon,Product,Google,Haircut,New,89.22,2,191.84
2024-09-14,Evening,Service,Instagram,Dress,New,2.57,0,437.6
2024-08-02,Night,Subscription,Google,Haircut,New,62.79,1,198.22
2024-06-25,Afternoon,Service,Email,Dress,Returning,39.68,5,226.28
2024-12-27,Night,Service,Email,Bread,Returning,40.28,1,97.34
2025-02-13,Afternoon,Product,Instagram,Plumbing,Returning,7.64,4,381.87
2024-09-22,Afternoon,Service,Email,Bread,Returning,87.17,5,330.32
2024-08-28,Evening,Subscription,Instagram,Haircut,Returning,63.38,0,303.35
2024-08-14,Afternoon,Product,Email,Plumbing,New,51.1,3,28.12
2025-02-18,Night,Product,Email,Dress,New,89.49,5,434.76
2024-05-30,Afternoon,Product,Email,Bread,Returning,74.49,3,117.54
2024-06-14,Evening,Subscription,In-store,Dress,Returning,46.54,1,262.18
2024-07-18,Morning,Product,Google,Bread,Returning,11.05,0,437.6
2025-02-20,Evening,Subscription,Instagram,Bread,New,25.01,4,494.31
2024-06-03,Night,Service,In-store,Haircut,New,46.68,0,209.73
2024-12-02,Afternoon,Product,In-store,Plumbing,Returning,7.42,2,88.21
2025-01-25,Afternoon,Product,Email,Coffee,Returning,53.08,0,386.14
